date,open,high,low,close,adjusted close,volume
2018-03-23 00:00:00,29.0,31.6,27.84,28.48,28.48,56108660
2018-03-26 00:00:00,30.45,30.66,27.75,30.45,30.45,16985727
2018-03-27 00:00:00,30.41,30.68,29.0,29.9,29.9,6910962
2018-03-28 00:00:00,29.26,31.19,28.61,30.98,30.98,5113289
2018-03-29 00:00:00,31.98,34.3667,30.79,31.25,31.25,15800189
2018-04-02 00:00:00,31.19,31.3878,29.31,30.01,30.01,5907676
2018-04-03 00:00:00,30.51,31.6,29.45,31.59,31.59,4305277
2018-04-04 00:00:00,30.32,31.4646,30.2,30.85,30.85,2951194
2018-04-05 00:00:00,31.2,31.76,30.3,30.535,30.535,2734361
2018-04-06 00:00:00,30.37,31.0,30.0,30.24,30.24,1626662
2018-04-09 00:00:00,30.64,31.0,30.13,30.14,30.14,1128755
2018-04-10 00:00:00,30.44,31.74,30.25,31.23,31.23,2475080
2018-04-11 00:00:00,31.3,32.49,30.87,32.32,32.32,2391485
2018-04-12 00:00:00,33.11,34.829,32.92,33.27,33.27,5592349
2018-04-13 00:00:00,31.27,32.24,29.73,30.0,30.0,8525239
2018-04-16 00:00:00,30.2,30.4,28.0,29.02,29.02,5727889
2018-04-17 00:00:00,29.9,30.0,28.61,29.83,29.83,3438414
2018-04-18 00:00:00,30.01,31.17,29.61,30.56,30.56,2968195
2018-04-19 00:00:00,30.65,30.88,29.4008,29.9,29.9,1575875
2018-04-20 00:00:00,29.7,29.9,28.67,28.92,28.92,1742483
2018-04-23 00:00:00,29.18,29.65,28.93,29.11,29.11,1468113
2018-04-24 00:00:00,29.23,29.8,28.29,28.94,28.94,1495237
2018-04-25 00:00:00,28.94,29.04,28.19,28.64,28.64,1258319
2018-04-26 00:00:00,28.87,29.5036,28.53,29.33,29.33,1935681
2018-04-27 00:00:00,29.59,30.15,29.25,29.61,29.61,1263240
2018-04-30 00:00:00,29.8,30.3299,29.62,30.11,30.11,1242272
2018-05-01 00:00:00,30.3,31.34,29.8,30.9,30.9,1735158
2018-05-02 00:00:00,30.97,31.5,30.5,31.01,31.01,1576100
2018-05-03 00:00:00,30.75,31.01,29.74,30.19,30.19,1127716
2018-05-04 00:00:00,30.13,30.4,29.05,29.13,29.13,1793067
2018-05-07 00:00:00,29.49,29.8786,29.33,29.41,29.41,1807854
2018-05-08 00:00:00,29.57,30.3,29.5,30.23,30.23,1518855
2018-05-09 00:00:00,30.6,31.5,30.14,31.4,31.4,3258762
2018-05-10 00:00:00,32.3,32.3004,31.41,32.0,32.0,6650869
2018-05-11 00:00:00,31.95,32.38,30.59,31.28,31.28,7338621
2018-05-14 00:00:00,31.62,31.75,29.7,29.96,29.96,4929296
2018-05-15 00:00:00,29.94,30.11,29.5,29.55,29.55,2766263
2018-05-16 00:00:00,29.78,30.95,29.62,30.74,30.74,2859475
2018-05-17 00:00:00,30.95,31.32,30.35,30.55,30.55,1817616
